epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,958.189,0.93857,2.80334,0.89736,0.71348,0.19684,0.30277,0.23905,0.77612,3.31063,0.85846,9.21984e-05,9.21984e-05,9.21984e-05
106,963.647,0.90073,2.71257,0.89751,0.7004,0.20716,0.31566,0.249,0.77189,3.24037,0.85653,9.0258e-05,9.0258e-05,9.0258e-05
107,969.039,0.81981,2.69711,0.89116,0.7004,0.20716,0.31566,0.249,0.77189,3.24037,0.85653,8.83176e-05,8.83176e-05,8.83176e-05
108,974.563,0.88503,2.73337,0.87647,0.70475,0.23159,0.3306,0.2624,0.76636,3.16522,0.85439,8.63772e-05,8.63772e-05,8.63772e-05
109,979.905,0.81966,2.63058,0.88698,0.70475,0.23159,0.3306,0.2624,0.76636,3.16522,0.85439,8.44368e-05,8.44368e-05,8.44368e-05
110,985.497,0.88084,2.74381,0.90306,0.71638,0.24999,0.34531,0.27764,0.76158,3.09339,0.85329,8.24964e-05,8.24964e-05,8.24964e-05
111,990.804,0.88137,2.51389,0.90565,0.71638,0.24999,0.34531,0.27764,0.76158,3.09339,0.85329,8.0556e-05,8.0556e-05,8.0556e-05
112,996.481,0.95044,2.69564,0.91979,0.71693,0.26204,0.35468,0.28797,0.75274,3.02572,0.85237,7.86156e-05,7.86156e-05,7.86156e-05
113,1001.76,0.8563,2.62928,0.88451,0.71693,0.26204,0.35468,0.28797,0.75274,3.02572,0.85237,7.66752e-05,7.66752e-05,7.66752e-05
114,1007.83,0.83727,2.63264,0.87753,0.71519,0.27656,0.37073,0.30013,0.74806,2.97655,0.85171,7.47348e-05,7.47348e-05,7.47348e-05
115,1013.19,0.84465,2.62069,0.875,0.71519,0.27656,0.37073,0.30013,0.74806,2.97655,0.85171,7.27944e-05,7.27944e-05,7.27944e-05
