epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2606.93,0.51667,0.62981,0.89977,0.99823,1,0.995,0.90893,0.42455,0.63109,0.82505,0.0002972,0.0002972,0.0002972
88,2627.32,0.55565,0.68754,0.90246,0.99827,1,0.995,0.90586,0.43427,0.62482,0.82383,0.0002774,0.0002774,0.0002774
89,2648.05,0.52647,0.61832,0.86309,0.99827,1,0.995,0.90586,0.43427,0.62482,0.82383,0.0002576,0.0002576,0.0002576
90,2669.41,0.54759,0.59858,0.86058,0.99834,1,0.995,0.92735,0.40501,0.62276,0.8214,0.0002378,0.0002378,0.0002378
91,2691.01,0.50367,0.78274,0.82843,0.99842,1,0.995,0.93132,0.38934,0.61679,0.81925,0.000218,0.000218,0.000218
92,2712.25,0.47384,0.7715,0.80989,0.99849,1,0.995,0.93645,0.38935,0.63168,0.8178,0.0001982,0.0001982,0.0001982
93,2733.32,0.49289,0.76409,0.85634,0.99849,1,0.995,0.93645,0.38935,0.63168,0.8178,0.0001784,0.0001784,0.0001784
94,2753.63,0.49195,0.75572,0.85169,0.99852,1,0.995,0.93749,0.39489,0.64671,0.8181,0.0001586,0.0001586,0.0001586
95,2951.49,0.46413,0.71338,0.86527,0.99853,1,0.995,0.92737,0.40899,0.65848,0.82019,0.0001388,0.0001388,0.0001388
96,2974.41,0.4825,0.74293,0.82469,0.99852,1,0.995,0.92392,0.43128,0.67243,0.82214,0.000119,0.000119,0.000119
97,3014.22,0.49451,0.73915,0.83697,0.99852,1,0.995,0.92392,0.43128,0.67243,0.82214,9.92e-05,9.92e-05,9.92e-05
98,3058.97,0.48644,0.71664,0.85869,0.99839,1,0.995,0.92189,0.43463,0.67406,0.82257,7.94e-05,7.94e-05,7.94e-05
99,3090.85,0.42991,0.69787,0.84872,0.99828,1,0.995,0.92095,0.42503,0.67188,0.82127,5.96e-05,5.96e-05,5.96e-05
100,3102.77,0.50039,0.73657,0.82119,0.99829,1,0.995,0.9318,0.4126,0.66539,0.8196,3.98e-05,3.98e-05,3.98e-05
